Id,Title,Artist,Genre
134,언제나 사랑해,케이시 (Kassy),Ballad
135,너에게 못했던 내 마지막 말은,다비치,Ballad
136,혼자 왔어요,김연지,Ballad
137,Never Ending Story,김민석,Ballad
138,찬란한 하루,멜로망스,Ballad
139,안녕이라고 말하지마,V.O.S,Ballad
140,이럴거면,거미,Ballad
141,행복한 나를,빅마마,Ballad
142,시간과 낙엽,AKMU (악뮤),Ballad
143,잘가요,주호,Ballad
144,서랍,10CM,Ballad
145,발걸음,DK(디셈버),Ballad
146,언젠간 괜찮아질 이야기,정승환,Ballad
147,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드),Ballad
148,그대를 알고,송하예,Ballad
149,지나오다,닐로(Nilo),Ballad
150,바라만 본다,MSG워너비(M.O.M),Ballad
151,그댄 행복에 살텐데 (2022),최유리,Ballad
152,나비무덤,포맨 (4MEN),Ballad
153,마지막 사랑,신예영,Ballad
154,어디든 가자 (Feat. 허성현),경서,Ballad
155,"우리 사랑 이대로 (여름날 우리 X 규현 (KYUHYUN), 정은지)",정은지,Ballad
156,너 없인 안 된다,비투비,Ballad
157,가질 수 없는 너,#안녕,Ballad
158,"여자는 말 못하고, 남자는 모르는 것들",정동하,Ballad
159,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),Ballad
160,너를 보는게 지친 하루에,송하예,Ballad
161,당신을 만나,송가인,Ballad
162,비가 오는 날엔 (2021),헤이즈 (Heize),Ballad
163,스티커 사진,21학번,Ballad
164,사랑은 가슴이 시킨다(2023),이창섭,Ballad
165,끝,권진아,Ballad
166,그때 그 아인,김필,Ballad
167,Hear Me Out,EXO,Ballad
168,Let Me In,EXO,Ballad
169,나의 마음에 (Seed),태양,Ballad
170,너에게 닿을게,정승환,Ballad
171,잘사니,노을,Ballad
172,우리 왜 헤어져야 해 (여름날 우리 X 전상근),전상근,Ballad
173,오늘도 빛나는 너에게,박민혜 (빅마마),Ballad
174,삭제,이홍기 (FT아일랜드),Ballad
175,혼자라고 생각말기,임한별,Ballad
176,비가 오는 날엔,비스트,Ballad
177,잊는 법,이예준,Ballad
178,이 새벽에 전화하는 건,황인욱,Ballad
179,상록수,이우,Ballad
180,바람,윤하 (YOUNHA),Ballad
181,Heaven,HYNN (박혜원),Ballad
182,이 세상 끝까지,#안녕,Ballad
183,다시 사랑한다면,한동근,Ballad
184,운다 운다,허각,Ballad
185,그날 밤,장혜진,Ballad
186,처음처럼,송하예,Ballad
187,결국엔 너에게 닿아서,WSG워너비 (가야G),Ballad
